date,United_States,United_Kingdom,Germany,France,Japan,Canada,Australia,Italy,Spain,China,India,Brazil,South_Korea,Netherlands,Switzerland,Belgium,Sweden,Singapore,Mexico,Indonesia
2026-01-20,4.3,4.462,2.8603,3.5259,2.344,3.435,4.8,3.4624,3.254,1.819,6.68,13.935,3.619,2.949,0.284,3.3116,2.783,2.167,9.213,6.328
2026-01-19,4.226,4.421,2.8402,3.4976,2.2711,3.385,4.751,3.427,3.226,1.834,6.689,13.863,3.56,2.9241,0.267,3.2792,2.76,2.176,9.144,6.297
2026-01-16,4.227,4.3971,2.8382,3.5175,2.1837,3.384,4.708,3.4341,3.219,1.837,6.674,13.868,3.486,2.917,0.257,3.2875,2.79,2.191,9.1,
2026-01-15,4.178,4.392,2.8177,3.492,2.1692,3.354,4.699,3.4091,3.213,1.841,,13.75,3.484,2.905,0.248,3.268,2.773,2.185,9.1,6.23
2026-01-14,4.136,4.344,2.7816,3.4895,2.1862,3.368,4.672,3.413,3.215,1.849,6.644,13.7,3.424,2.8955,0.261,3.2632,2.789,2.174,9.1,6.24
2026-01-13,4.184,4.402,2.8134,3.5235,2.167,3.409,4.707,3.4431,3.253,1.852,6.63,13.653,3.413,2.9283,0.266,3.3054,2.794,2.165,9.1,6.121
2026-01-12,4.182,4.374,2.8014,3.5039,2.097,3.4,4.682,3.426,3.237,1.866,6.603,13.655,3.385,2.9189,0.254,3.2795,2.797,2.182,9.1,6.125
2026-01-09,4.175,4.378,2.8256,3.5253,2.0973,3.393,4.676,3.4573,3.262,1.875,6.628,13.705,3.385,2.9411,0.298,3.3158,2.816,2.2,9.1,6.147
2026-01-08,4.176,4.395,2.8289,3.5314,2.0799,3.402,4.664,3.4723,3.266,1.885,6.627,13.685,3.337,2.9417,0.297,3.31,2.812,2.207,8.734,6.148
2026-01-07,4.159,4.417,2.8076,3.5206,2.1212,3.398,4.677,3.4718,3.251,1.885,6.612,13.7,3.364,2.9235,0.276,3.2992,2.806,2.229,8.73,6.088
2026-01-06,4.169,4.487,2.8466,3.5566,2.1302,3.432,4.771,3.4959,3.28,1.876,6.632,13.665,3.392,2.9579,0.287,3.3464,2.884,2.254,8.734,6.088
2026-01-05,4.167,4.507,2.873,3.5719,2.1197,3.421,4.777,3.5293,3.308,1.855,6.642,13.595,3.407,2.9826,0.277,3.3705,2.862,2.226,8.853,6.119
2026-01-04,,,,,,,,,,1.877,,,,,,,,,,
2026-01-02,4.195,4.5391,2.899,3.6107,2.073,3.472,4.82,3.5703,3.344,,6.607,,3.38,3.0124,0.311,3.4116,2.822,2.222,8.91,6.119
2026-01-01,4.168,4.478,2.8557,3.5637,2.073,,4.777,3.5123,3.292,,6.607,,,2.9697,,3.356,2.755,,8.95,
2025-12-31,4.172,4.478,2.8623,3.5605,2.073,3.435,4.741,3.5118,3.292,1.848,6.572,,3.385,2.9661,0.282,3.3458,2.751,2.223,8.95,6.119
2025-12-30,4.127,4.505,2.8533,3.5614,2.073,3.412,4.753,3.5103,3.296,1.868,6.59,,3.349,2.9683,0.319,3.3487,2.765,2.266,8.992,6.12
2025-12-29,4.111,4.489,2.8257,3.5268,2.0582,3.39,4.742,3.4673,3.259,1.845,6.588,,3.351,2.9513,0.302,3.3177,2.751,2.293,8.99,6.12
2025-12-26,4.137,4.5044,2.8624,3.562,2.041,,,3.5143,3.293,1.833,6.6,13.858,3.368,2.9767,,3.3535,2.851,2.311,8.98,
2025-12-25,4.126,4.504,2.8624,3.562,2.0465,,,3.5147,3.293,1.843,,,,2.9766,,3.3534,2.836,,,
2025-12-24,4.135,4.504,2.867,3.5675,2.0498,3.401,4.739,3.5143,3.292,1.833,6.57,,3.342,2.9762,0.278,3.3517,2.836,2.314,8.96,6.12
2025-12-23,4.17,4.513,2.8647,3.5625,2.0397,3.418,4.768,3.5184,3.297,1.829,6.677,13.882,3.375,2.9806,0.336,3.3527,2.788,2.303,8.99,6.14
2025-12-22,4.164,4.538,2.9044,3.6248,2.0808,3.473,4.796,3.5684,3.338,1.839,6.668,,3.361,3.0238,0.34,3.4011,2.839,2.314,9.03,6.141
2025-12-19,4.144,4.53,2.8925,3.6128,2.0235,3.469,4.798,3.5468,3.326,1.834,6.616,,3.333,3.0179,0.334,3.3892,2.825,2.301,8.904,6.126
2025-12-18,4.125,4.49,2.8491,3.5577,1.9662,3.412,4.722,3.4988,3.278,1.785,6.61,13.877,3.306,2.9731,0.312,3.334,2.8,2.309,8.91,6.125
2025-12-17,4.163,4.4872,2.8642,3.5716,1.9848,3.436,4.752,3.5285,3.306,1.844,6.592,13.877,3.319,2.9922,0.319,3.3517,2.81,2.309,8.914,6.126
2025-12-16,4.145,4.523,2.8466,3.5491,1.9553,3.406,4.725,3.5075,3.289,1.846,6.584,13.65,3.314,2.9754,0.299,3.3381,2.803,2.282,9.01,6.148
2025-12-15,4.181,4.508,2.8508,3.5669,1.9591,3.421,4.727,3.5373,3.31,1.844,6.606,13.528,3.338,2.9897,0.293,3.3415,2.814,2.285,9.014,6.162
2025-12-12,4.184,4.5248,2.8611,3.5798,1.955,3.443,4.763,3.5541,3.317,1.846,6.615,13.62,3.397,2.9965,0.334,3.3633,2.856,2.325,8.97,6.189
2025-12-11,4.161,4.492,2.8456,3.5576,1.9306,3.437,4.724,3.5324,3.302,1.839,6.611,13.785,3.364,2.9814,0.285,3.3369,2.846,2.292,8.974,6.189
2025-12-10,4.155,4.509,2.8563,3.5775,1.9632,3.423,4.766,3.5603,3.328,1.847,6.629,13.828,3.374,2.9953,0.291,3.3655,2.878,2.235,8.974,6.19
2025-12-09,4.19,4.504,2.8519,3.5572,1.9647,3.472,4.789,3.5485,3.316,1.862,6.601,13.765,3.459,2.9885,0.269,3.3426,2.857,2.223,8.984,6.224
2025-12-08,4.167,4.528,2.8666,3.5834,1.9722,3.424,4.73,3.5604,3.349,1.863,6.547,13.663,3.388,2.9988,0.243,3.3686,2.86,2.159,8.83,6.224
2025-12-05,4.141,4.4809,2.8001,3.5288,1.9523,3.419,4.712,3.4942,3.274,1.838,6.5,13.575,3.376,2.9391,0.191,3.3064,2.839,2.139,8.69,6.19
2025-12-04,4.102,4.441,2.7706,3.5227,1.9409,3.26,4.694,3.4727,3.255,1.854,6.53,13.24,3.379,2.9114,0.163,3.2993,2.805,2.124,8.66,6.19
2025-12-03,4.067,4.451,2.7461,3.4917,1.8947,3.228,4.623,3.4463,3.228,1.832,6.534,13.295,3.364,2.8877,0.152,3.2609,2.805,2.117,8.72,6.3
2025-12-02,4.095,4.472,2.7515,3.4925,1.8624,3.251,4.61,3.4671,3.231,1.833,6.568,13.295,3.35,2.8959,0.184,3.262,2.806,2.148,8.76,6.294
2025-12-01,4.092,4.486,2.7492,3.4861,1.879,3.254,4.592,3.4695,3.233,1.826,6.571,13.405,3.382,2.8921,0.186,3.2699,2.805,2.154,8.764,6.314
2025-11-28,4.018,4.447,2.6913,3.4126,1.8068,3.152,4.53,3.404,3.166,1.834,6.515,13.41,3.34,2.8315,0.182,3.1932,2.728,2.116,8.69,6.314
2025-11-27,3.989,4.456,2.6775,3.4088,1.8021,3.129,4.491,3.402,3.163,1.845,6.504,13.458,3.344,2.8198,0.173,3.1892,2.7,2.155,8.694,6.255
2025-11-26,3.999,4.427,2.6741,3.395,1.8192,3.14,4.493,3.3909,3.152,1.831,6.489,13.495,3.247,2.8146,0.168,3.1723,2.663,2.146,8.724,6.201
2025-11-25,4.0,4.499,2.6728,3.4075,1.8039,3.15,4.423,3.4039,3.166,1.817,6.511,13.557,3.272,2.8207,0.166,3.1869,2.643,2.095,8.83,6.205
2025-11-24,4.032,4.544,2.697,3.4492,1.788,3.174,4.436,3.442,3.198,1.823,6.554,13.595,3.278,2.8411,0.177,3.2215,2.676,2.066,8.834,6.225
2025-11-23,,,,,,,,,,,,,,,,,,2.01,,
2025-11-21,4.068,4.5511,2.698,3.4749,1.7876,3.203,4.463,3.464,3.211,1.82,6.543,13.648,3.283,2.8576,0.176,3.2619,2.652,2.015,8.82,6.205
2025-11-20,4.088,4.589,2.7194,3.4907,1.8204,3.228,4.459,3.4748,3.227,1.81,6.541,,3.307,2.8753,0.172,3.2667,2.694,1.975,8.75,6.137
