country,currency_ticker,stock_index_ticker
United States,DX-Y.NYB,^GSPC
China,CNYUSD=X,000001.SS
Japan,JPYUSD=X,^N225
Germany,EURUSD=X,^GDAXI
United Kingdom,GBPUSD=X,^FTSE
India,INRUSD=X,^BSESN
France,EURUSD=X,^FCHI
Italy,EURUSD=X,FTSEMIB.MI
Brazil,BRLUSD=X,^BVSP
Canada,CADUSD=X,^GSPTSE
Russia,RUBUSD=X,IMOEX.ME
South Korea,KRWUSD=X,^KS11
Australia,AUDUSD=X,^AXJO
Mexico,MXNUSD=X,^MXX
Spain,EURUSD=X,^IBEX
Indonesia,IDRUSD=X,^JKSE
Netherlands,EURUSD=X,^AEX
Saudi Arabia,SARUSD=X,^TASI
Turkey,TRYUSD=X,XU100.IS
Switzerland,CHFUSD=X,^SSMI
Taiwan,TWDUSD=X,^TWII
Poland,PLNUSD=X,^WIG20
Argentina,ARSUSD=X,^MERV
Sweden,SEKUSD=X,^OMX
Belgium,EURUSD=X,^BFX
Thailand,THBUSD=X,^SET.BK
Ireland,EURUSD=X,^ISEQ
Israel,ILSUSD=X,^TA125.TA
Austria,EURUSD=X,^ATX
Norway,NOKUSD=X,^OSEAX
United Arab Emirates,AEDUSD=X,^DFMGI
Nigeria,NGNUSD=X,^NGSEINDX
Singapore,SGDUSD=X,^STI
South Africa,ZARUSD=X,^J203.JO
Malaysia,MYRUSD=X,^KLSE
Denmark,DKKUSD=X,^OMXC25
Philippines,PHPUSD=X,PSEi.PS
Hong Kong,HKDUSD=X,^HSI
Vietnam,VNDUSD=X,^VNINDEX
Bangladesh,BDTUSD=X,^DSEX
Pakistan,PKRUSD=X,^KSE100
Chile,CLPUSD=X,^IPSA
Colombia,COPUSD=X,^COLCAP
Finland,EURUSD=X,^OMXH25
Portugal,EURUSD=X,^PSI20
New Zealand,NZDUSD=X,^NZ50
Czech Republic,CZKUSD=X,^PX
Greece,EURUSD=X,^ATHEX
Peru,PENUSD=X,^SPBLPGPT
Qatar,QARUSD=X,^QSI
