date,topic,Argentina_sentiment,Argentina_count,Australia_sentiment,Australia_count,Brazil_sentiment,Brazil_count,Canada_sentiment,Canada_count,China_sentiment,China_count,Czechia_sentiment,Czechia_count,Egypt_sentiment,Egypt_count,France_sentiment,France_count,Germany_sentiment,Germany_count,Hungary_sentiment,Hungary_count,India_sentiment,India_count,Israel_sentiment,Israel_count,Italy_sentiment,Italy_count,Japan_sentiment,Japan_count,"Korea, Republic of_sentiment","Korea, Republic of_count",Mexico_sentiment,Mexico_count,New Zealand_sentiment,New Zealand_count,Nigeria_sentiment,Nigeria_count,Pakistan_sentiment,Pakistan_count,Philippines_sentiment,Philippines_count,Poland_sentiment,Poland_count,Russian Federation_sentiment,Russian Federation_count,Saudi Arabia_sentiment,Saudi Arabia_count,Singapore_sentiment,Singapore_count,South Africa_sentiment,South Africa_count,Spain_sentiment,Spain_count,"Taiwan, Province of China_sentiment","Taiwan, Province of China_count",Turkey_sentiment,Turkey_count,Ukraine_sentiment,Ukraine_count,United Kingdom_sentiment,United Kingdom_count,United States_sentiment,United States_count
2026-01-21,Economic Data,-0.6037,6.0,0.2475,13.0,-0.1906,6.0,0.0268,13.0,0.189,168.0,,,0.1112,8.0,-0.0074,7.0,0.0672,16.0,,,0.4043,51.0,0.4639,2.0,0.9452,1.0,0.0985,25.0,0.4158,24.0,0.6215,4.0,0.3238,3.0,0.4503,1.0,,,0.4804,2.0,-0.1196,7.0,-0.3036,3.0,0.586,6.0,0.2075,7.0,0.5162,13.0,-0.1536,10.0,0.4141,7.0,0.5563,2.0,0.4178,3.0,0.1896,80.0,-0.0844,276.0
2026-01-21,Economic Data-Consumer Spending,,,,,,,,,0.6781,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-21,Economic Data-Employment,,,-0.2932,2.0,,,0.2219,6.0,0.5555,4.0,,,,,-0.8938,1.0,0.6865,1.0,,,,,,,,,-0.003,1.0,,,,,0.6727,1.0,,,,,,,,,0.473,2.0,-0.0387,2.0,0.2342,11.0,,,-0.0108,1.0,0.1585,2.0,,,,,-0.3192,9.0,-0.0611,6.0
2026-01-21,Economic Data-GDP,-0.8934,1.0,0.8473,5.0,0.9365,1.0,,,0.3167,10.0,,,,,,,0.0247,9.0,,,0.5426,7.0,,,,,,,0.941,1.0,,,,,0.9413,1.0,,,-0.9243,1.0,,,,,,,,,,,0.9256,1.0,,,,,,,0.9369,2.0,0.4939,2.0
2026-01-21,Economic Data-Housing,0.908,1.0,,,-0.2889,3.0,-0.2297,4.0,-0.5043,14.0,0.2297,1.0,-0.1554,2.0,,,0.0372,2.0,,,0.4642,4.0,,,0.4482,2.0,0.3196,9.0,0.3398,2.0,0.0073,2.0,,,,,,,,,,,,,-0.9127,1.0,,,,,0.2867,3.0,,,,,,,0.2401,29.0,0.1218,24.0
2026-01-21,Economic Data-Inflation,,,,,,,,,-0.1414,9.0,,,,,,,,,,,,,,,,,0.0002,2.0,,,,,,,,,,,,,0.0054,1.0,,,0.9182,1.0,0.0,1.0,0.8451,15.0,,,,,,,,,0.5365,90.0,0.065,40.0
2026-01-21,Economic Data-Interest Rates,,,-0.4363,2.0,,,,,0.2798,9.0,0.0071,2.0,0.76,1.0,,,-0.0145,3.0,,,0.4151,2.0,,,,,0.0682,8.0,0.1289,5.0,,,,,,,,,,,-0.0177,6.0,,,,,,,0.3292,2.0,0.0194,1.0,,,,,,,-0.0467,16.0,-0.1966,18.0
2026-01-21,Economic Data-Manufacturing,,,0.0036,2.0,,,,,0.9439,4.0,,,,,,,0.0041,3.0,,,0.5073,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8914,6.0,,,,,,,0.2589,4.0
2026-01-21,Economic Data-Retail Sales,,,,,,,,,0.5362,10.0,,,,,0.8917,1.0,,,,,,,,,,,0.4427,2.0,,,0.1684,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1356,8.0,0.4977,8.0
2026-01-21,Extreme Weather,0.0037,5.0,0.3548,14.0,-0.0012,5.0,-0.3714,5.0,-0.0165,24.0,0.0171,2.0,,,,,0.1273,14.0,,,-0.1443,22.0,-0.3723,2.0,-0.5968,11.0,-0.2406,8.0,,,0.0022,27.0,-0.878,10.0,,,,,-0.0038,8.0,,,-0.2918,18.0,-0.866,1.0,,,0.0005,5.0,-0.0333,24.0,0.0794,2.0,0.0033,1.0,0.1839,7.0,0.1064,17.0,0.0382,59.0
