date,United States,China,Japan,Germany,United Kingdom,India,France,Italy,Brazil,Canada,South Korea,Australia,Mexico,Spain,Indonesia,Netherlands,Turkey,Switzerland,Taiwan,Argentina,Sweden,Belgium,Thailand,Ireland,Israel,Austria,Norway,Singapore,South Africa,Malaysia,Denmark,Philippines,Hong Kong,Chile,Finland,New Zealand
2026-01-21,,,,,10098.2998046875,,,,,,,,,,,,,,,,,,,12818.900390625,,,,,,,1881.5615234375,,,11159.349609375,,
2026-01-20,6796.85986328125,4113.64892578125,52991.1015625,24703.119140625,10126.7998046875,82180.46875,8062.580078125,44713.0,166277.0,32750.30078125,4885.75,8815.900390625,67683.3828125,17429.099609375,9134.7001953125,991.1699829101562,12805.7998046875,13169.9599609375,31759.990234375,2942092.0,2976.3701171875,5248.9599609375,1296.3699951171875,12872.650390625,3967.35009765625,5370.85009765625,1995.030029296875,4828.0,120534.3984375,1699.06005859375,1894.81005859375,6352.85986328125,26487.509765625,,5740.72021484375,13479.7900390625
2026-01-19,,4114.0,53583.5703125,24959.060546875,10195.400390625,83246.1796875,8112.02001953125,45196.0,164849.0,33091.0,4904.66015625,8874.5,67467.8203125,17665.30078125,9133.873046875,992.72998046875,12747.900390625,13277.0400390625,31639.2890625,2912976.0,2984.580078125,5290.10009765625,1283.199951171875,12988.1298828125,3985.989990234375,5441.56982421875,1990.22998046875,4834.8798828125,120116.3984375,1712.3299560546875,,6437.77978515625,26563.900390625,,5829.02001953125,13580.7001953125
2026-01-16,6940.009765625,4101.9130859375,53936.171875,25297.130859375,10235.2998046875,83570.3515625,8258.9404296875,45800.0,164800.0,33040.6015625,4840.740234375,8903.900390625,67141.109375,17710.900390625,,1010.2100219726562,12668.5,13413.58984375,31408.69921875,2933230.0,3039.090087890625,5357.14013671875,1275.5999755859375,13070.259765625,,5470.330078125,2025.1700439453125,4849.10009765625,120169.703125,1712.739990234375,1941.93994140625,6464.669921875,26844.9609375,,5915.52978515625,13718.099609375
2026-01-15,6944.47021484375,4112.60107421875,54110.5,25352.390625,10238.900390625,,8313.1201171875,45850.0,165568.0,33028.8984375,4797.5498046875,8861.7001953125,66649.28125,17642.69921875,9075.40625,1011.010009765625,12456.7001953125,13476.3203125,30810.580078125,2926727.0,3036.639892578125,5350.06005859375,1261.3900146484375,13067.1201171875,3988.85009765625,5471.02001953125,1997.489990234375,4833.33984375,120870.1015625,1715.1600341796875,1921.739990234375,6487.52978515625,26923.619140625,,5929.830078125,13715.9296875
2026-01-14,6926.60009765625,4126.0927734375,54341.23046875,25286.240234375,10184.400390625,83382.7109375,8330.9697265625,45647.0,165146.0,32916.5,4723.10009765625,8820.599609375,67403.078125,17695.69921875,9032.583984375,996.75,12369.900390625,13464.83984375,30941.779296875,2950111.0,2983.909912109375,5302.3701171875,1244.300048828125,12995.0400390625,3963.989990234375,5431.39990234375,1998.72998046875,4812.509765625,120856.796875,1710.9100341796875,1941.780029296875,6389.81005859375,26999.810546875,,5867.2998046875,13722.1298828125
2026-01-13,6963.740234375,4138.7578125,53549.16015625,25420.66015625,10137.400390625,83627.6875,8347.2001953125,45525.0,161973.0,32870.3984375,4692.64013671875,8808.5,66337.421875,17687.099609375,8948.302734375,997.1699829101562,12385.599609375,13364.73046875,30707.220703125,3036293.0,2983.89990234375,5250.08984375,1235.300048828125,12972.66015625,3913.389892578125,5410.2998046875,1985.199951171875,4807.1298828125,120964.3984375,1708.199951171875,1920.68994140625,6408.759765625,26848.470703125,,5792.43017578125,13597.759765625
2026-01-12,6977.27001953125,4165.287109375,,25405.33984375,10140.7001953125,83878.171875,8358.759765625,45732.0,163150.0,32874.69921875,4624.7900390625,8759.400390625,66745.609375,17673.80078125,8884.72265625,993.5399780273438,12254.7998046875,13426.98046875,30567.2890625,3076947.0,2984.2099609375,5213.93994140625,1242.199951171875,13073.3203125,3926.3798828125,5440.33984375,1964.8399658203125,4766.77978515625,120148.1015625,1695.43994140625,1902.0400390625,6419.9599609375,26608.48046875,,5791.02001953125,13691.2099609375
2026-01-09,6966.27978515625,4120.42578125,51939.890625,25261.640625,10124.599609375,83576.2421875,8362.08984375,45719.0,163370.0,32612.900390625,4586.31982421875,8717.7998046875,66062.6171875,17649.0,8936.75390625,988.1699829101562,12201.0,13421.8203125,30288.9609375,3089461.0,2974.60009765625,5240.43994140625,1254.0899658203125,13080.0595703125,,5403.240234375,1957.93994140625,4744.66015625,118110.203125,1686.5400390625,1905.93994140625,6348.14013671875,26231.7890625,,5799.85986328125,13696.25
2026-01-08,6921.4599609375,4082.97900390625,51117.26171875,25127.4609375,10044.7001953125,84180.9609375,8243.4697265625,45672.0,162937.0,32378.599609375,4552.3701171875,8720.7998046875,65521.01171875,17654.69921875,8925.470703125,965.030029296875,12088.0,13350.8203125,30360.55078125,3074880.0,2937.93994140625,5228.77001953125,1253.5999755859375,13046.3203125,3878.85009765625,5412.08984375,1940.3499755859375,4739.06982421875,116989.296875,1669.5699462890625,1892.6400146484375,6320.669921875,26149.310546875,,5770.93994140625,13732.48046875
