date,topic,Argentina_sentiment,Argentina_count,Australia_sentiment,Australia_count,Brazil_sentiment,Brazil_count,Canada_sentiment,Canada_count,China_sentiment,China_count,Czechia_sentiment,Czechia_count,Egypt_sentiment,Egypt_count,France_sentiment,France_count,Germany_sentiment,Germany_count,Hungary_sentiment,Hungary_count,India_sentiment,India_count,Israel_sentiment,Israel_count,Italy_sentiment,Italy_count,Japan_sentiment,Japan_count,"Korea, Republic of_sentiment","Korea, Republic of_count",Mexico_sentiment,Mexico_count,New Zealand_sentiment,New Zealand_count,Nigeria_sentiment,Nigeria_count,Pakistan_sentiment,Pakistan_count,Philippines_sentiment,Philippines_count,Poland_sentiment,Poland_count,Russian Federation_sentiment,Russian Federation_count,Saudi Arabia_sentiment,Saudi Arabia_count,Singapore_sentiment,Singapore_count,South Africa_sentiment,South Africa_count,Spain_sentiment,Spain_count,"Taiwan, Province of China_sentiment","Taiwan, Province of China_count",Turkey_sentiment,Turkey_count,Ukraine_sentiment,Ukraine_count,United Kingdom_sentiment,United Kingdom_count,United States_sentiment,United States_count
2026-01-20,Economic Data,0.0029,112.0,0.067,52.0,0.2152,37.0,0.2112,59.0,0.2605,63.0,-0.0322,24.0,0.3984,25.0,-0.0226,130.0,0.072,489.0,0.0102,34.0,0.2775,353.0,0.0094,10.0,0.1034,193.0,0.169,124.0,0.1825,225.0,0.043,45.0,0.3979,12.0,0.115,47.0,0.1744,42.0,0.1471,56.0,-0.1887,39.0,0.1162,198.0,0.2702,12.0,0.12,24.0,0.1909,32.0,0.1506,212.0,0.2241,203.0,-0.1451,153.0,0.2449,53.0,0.1807,69.0,0.1405,235.0
2026-01-20,Economic Data-Consumer Spending,0.1753,3.0,-0.4347,2.0,,,0.0004,3.0,-0.0002,2.0,-0.2046,1.0,,,-0.4582,2.0,0.0174,4.0,,,0.1639,6.0,,,0.0029,2.0,0.0105,2.0,0.0082,2.0,0.0116,2.0,-0.9083,1.0,,,0.0026,2.0,-0.3678,2.0,,,0.1578,8.0,0.1152,1.0,,,0.096,3.0,,,0.0133,3.0,0.4727,6.0,,,-0.1815,3.0,-0.3228,3.0
2026-01-20,Economic Data-Employment,0.0994,9.0,0.0362,13.0,0.0599,43.0,0.0013,26.0,0.176,12.0,-0.617,2.0,-0.1601,6.0,-0.3356,23.0,-0.0098,73.0,0.0139,4.0,-0.0727,74.0,0.203,3.0,-0.0219,52.0,0.1601,59.0,0.0509,59.0,-0.1419,19.0,0.3655,8.0,0.3461,5.0,0.9409,1.0,-0.0869,8.0,0.0432,14.0,-0.0505,37.0,0.1142,11.0,-0.083,16.0,0.1729,15.0,0.1149,31.0,0.0553,24.0,0.0724,44.0,0.1353,11.0,0.0915,21.0,-0.2398,36.0
2026-01-20,Economic Data-GDP,0.5371,4.0,,,,,,,0.4962,6.0,0.5071,2.0,0.9427,1.0,-0.3801,2.0,0.4603,6.0,,,0.5211,14.0,,,0.0408,9.0,,,0.0176,2.0,0.5999,3.0,,,0.7316,7.0,0.0408,4.0,0.145,3.0,,,-0.6298,1.0,,,,,0.9421,1.0,0.5249,10.0,0.7857,3.0,0.5792,8.0,,,,,0.5851,2.0
2026-01-20,Economic Data-Housing,0.1823,27.0,-0.0051,34.0,-0.3001,8.0,0.001,38.0,-0.0955,14.0,0.164,11.0,0.4275,13.0,0.0309,17.0,0.0838,116.0,-0.0712,13.0,0.0448,68.0,0.0112,5.0,0.0385,56.0,0.4254,23.0,0.2839,79.0,-0.0705,11.0,0.0675,26.0,0.0294,9.0,0.0065,2.0,0.5082,8.0,-0.2007,14.0,0.1944,62.0,-0.2385,5.0,0.3451,13.0,0.3899,11.0,0.117,93.0,0.2066,69.0,0.1463,94.0,0.0023,8.0,0.1055,32.0,-0.0058,60.0
2026-01-20,Economic Data-Inflation,0.2724,7.0,-0.8525,6.0,0.5831,1.0,-0.242,8.0,,,,,,,0.0038,1.0,-0.293,30.0,-0.0228,1.0,-0.1058,8.0,,,-0.0222,3.0,0.1058,7.0,0.1866,6.0,0.0108,1.0,0.2652,2.0,-0.0123,2.0,0.238,4.0,-0.8917,1.0,0.8585,1.0,-0.0695,20.0,,,,,,,0.001,1.0,0.0248,2.0,0.1582,18.0,0.6392,2.0,0.0044,2.0,-0.1964,7.0
2026-01-20,Economic Data-Interest Rates,-0.0904,18.0,0.2577,3.0,-0.0458,5.0,0.2802,9.0,0.0043,7.0,0.1875,6.0,,,0.096,17.0,0.0426,53.0,0.9522,1.0,0.129,49.0,-0.3285,1.0,0.2015,22.0,0.8093,12.0,0.3634,28.0,0.0343,5.0,0.0088,5.0,0.2975,14.0,0.6331,3.0,0.3083,10.0,0.2877,4.0,-0.1017,54.0,,,-0.9081,1.0,0.1656,7.0,0.138,31.0,0.2027,31.0,-0.087,12.0,-0.0793,13.0,0.1946,15.0,-0.0233,29.0
2026-01-20,Economic Data-Manufacturing,-0.3099,4.0,0.6843,3.0,0.0008,1.0,0.3351,6.0,0.6376,6.0,,,0.9287,1.0,0.5109,7.0,0.2853,79.0,,,0.5585,45.0,,,0.5569,11.0,0.5466,8.0,0.1857,27.0,0.4787,3.0,,,0.3302,3.0,0.0082,2.0,0.6797,9.0,0.9525,1.0,0.1606,7.0,0.7633,3.0,0.7361,3.0,0.8005,2.0,0.4461,10.0,0.6608,49.0,0.0144,1.0,,,0.4816,7.0,-0.0132,14.0
2026-01-20,Economic Data-Retail Sales,0.0048,1.0,0.3076,9.0,0.517,2.0,0.3906,12.0,-0.1592,3.0,,,0.4505,1.0,0.4778,4.0,0.3127,30.0,0.0017,3.0,0.0983,13.0,0.9291,1.0,0.3412,11.0,0.1738,42.0,0.7061,5.0,0.0463,3.0,0.0093,1.0,0.1866,4.0,0.2991,3.0,0.5041,9.0,0.0529,1.0,0.0117,18.0,0.4505,1.0,0.4533,2.0,0.0012,1.0,0.0024,3.0,0.3327,20.0,0.0848,2.0,0.1047,2.0,0.465,10.0,0.2308,14.0
2026-01-20,Extreme Weather,-0.0689,154.0,0.0946,36.0,-0.1865,182.0,-0.0508,41.0,-0.0793,14.0,-0.0744,21.0,0.1148,11.0,-0.0761,102.0,0.049,546.0,-0.0035,42.0,0.0063,244.0,-0.2023,12.0,-0.4002,242.0,-0.0641,103.0,0.0083,121.0,-0.0082,50.0,-0.2573,41.0,0.4356,4.0,-0.2403,16.0,-0.0603,28.0,-0.023,114.0,-0.1943,360.0,0.1957,6.0,-0.3245,6.0,-0.1256,21.0,-0.0324,236.0,-0.0857,66.0,-0.1928,208.0,-0.0986,144.0,0.1673,30.0,-0.0298,266.0
2026-01-20,Extreme Weather-Cold,-0.1796,14.0,0.1511,4.0,0.0874,8.0,-0.3015,42.0,-0.1041,12.0,-0.026,9.0,,,-0.0863,14.0,-0.016,52.0,-0.0655,36.0,-0.1242,45.0,-0.1249,15.0,-0.0038,16.0,-0.0697,31.0,-0.1332,73.0,-0.0541,20.0,,,,,-0.0267,6.0,,,-0.1504,46.0,-0.2132,206.0,-0.3368,4.0,-0.5662,1.0,,,-0.1878,21.0,-0.1496,63.0,-0.3126,158.0,-0.0681,53.0,-0.0878,15.0,-0.1349,167.0
2026-01-20,Extreme Weather-Drought,0.1418,16.0,-0.2281,9.0,-0.1727,133.0,0.0327,4.0,0.3592,2.0,0.0053,3.0,,,0.1405,11.0,-0.2305,17.0,0.0685,1.0,-0.1905,46.0,0.0283,2.0,0.0467,33.0,-0.2147,2.0,0.1946,6.0,-0.2294,6.0,-0.0125,10.0,,,-0.0504,10.0,0.0772,6.0,-0.2955,4.0,-0.1231,9.0,,,-0.2044,3.0,-0.4254,7.0,0.0081,40.0,-0.1329,10.0,-0.1553,20.0,-0.279,4.0,-0.2985,3.0,-0.1878,21.0
2026-01-20,Extreme Weather-Heat,-0.0309,25.0,-0.0241,23.0,0.07,13.0,0.4622,6.0,,,0.4739,3.0,,,-0.2652,4.0,-0.0479,25.0,-0.2649,4.0,-0.0619,17.0,,,0.124,15.0,0.0993,6.0,0.3227,3.0,-0.0333,5.0,0.0345,4.0,,,0.2903,1.0,-0.0071,1.0,-0.1761,6.0,-0.0371,28.0,,,,,0.0008,4.0,0.5995,3.0,0.9226,2.0,0.0986,4.0,0.0856,25.0,0.015,1.0,-0.1717,12.0
2026-01-20,Fiscal Policy,0.0507,91.0,-0.0008,70.0,0.2028,48.0,-0.0053,27.0,0.183,39.0,-0.3774,4.0,0.3274,19.0,-0.0725,200.0,-0.0412,222.0,0.0999,20.0,0.1211,233.0,-0.1749,6.0,0.0194,231.0,0.1646,63.0,0.051,115.0,0.0376,43.0,0.1889,14.0,-0.0653,53.0,0.0285,38.0,-0.0418,37.0,-0.0407,31.0,0.1113,142.0,0.1371,7.0,-0.019,14.0,0.0167,32.0,0.044,163.0,0.018,76.0,0.0225,87.0,-0.0089,40.0,0.023,31.0,0.0585,252.0
2026-01-20,Fiscal Policy-Stimulus Package,-0.0382,40.0,-0.0624,18.0,0.2792,10.0,0.0684,16.0,0.1095,15.0,-0.0155,6.0,0.0856,6.0,0.0647,63.0,0.1367,56.0,-0.0249,12.0,0.1222,138.0,-0.4282,11.0,-0.0107,64.0,0.0432,13.0,0.2811,57.0,0.079,34.0,0.0088,2.0,0.096,22.0,0.189,13.0,0.0031,31.0,0.0252,20.0,0.2838,50.0,0.2838,2.0,-0.0129,1.0,0.0285,11.0,0.153,48.0,0.3489,25.0,-0.0064,36.0,0.1038,31.0,-0.0591,22.0,0.0474,124.0
2026-01-20,Monetary Policy,-0.1469,13.0,0.7631,1.0,0.014,2.0,0.2142,6.0,0.1261,5.0,-0.0006,4.0,,,-0.05,10.0,0.1723,41.0,-0.9112,1.0,0.2036,36.0,,,0.3552,11.0,0.7602,10.0,0.3973,19.0,0.0068,1.0,0.0195,3.0,0.0685,9.0,0.934,1.0,0.3582,7.0,0.0072,1.0,-0.1369,17.0,,,-0.9081,1.0,0.2593,4.0,0.2856,12.0,0.1069,22.0,-0.2233,7.0,0.1643,9.0,0.4602,4.0,0.2701,11.0
2026-01-20,Monetary Policy-Interest Rates,,,,,,,0.9209,3.0,-0.0033,7.0,,,,,0.9418,1.0,0.0473,12.0,,,-0.1124,4.0,,,,,-0.9197,1.0,0.0366,7.0,-0.0005,1.0,,,0.5247,3.0,,,,,,,-0.1523,7.0,,,,,-0.0287,1.0,,,0.8344,2.0,0.0039,5.0,,,-0.0291,2.0,-0.9049,3.0
